ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q727348,Provisional Government of Belgium,1830-09-24,11,,,1831-02-24,11,,,,,Q2409844,Government Gerlache-Goblet d'Alviella,,,,
,Q2409844,Government Gerlache-Goblet d'Alviella,1831-02-26,11,,,1831-03-23,11,,,Q727348,Provisional Government of Belgium,Q3112223,Government Lebeau I,,,,
,Q3112223,Government Lebeau I,1831-03-23,11,,,1831-07-21,11,,,Q2409844,Government Gerlache-Goblet d'Alviella,Q2182073,de Mûelenaere government,,,,
,Q2182073,de Mûelenaere government,1831-07-26,11,,,1832-09-17,11,,,Q3112223,Government Lebeau I,Q2218341,Goblet government,,,,
,Q2218341,Goblet government,1832-10-20,11,,,1834-08-04,11,,,Q2182073,de Mûelenaere government,Q3112570,de Theux I government,,,,
,Q3112570,de Theux I government,1834-08-04,11,,,1840-04-18,11,,,Q2218341,Goblet government,Q2493850,Lebeau II government,,,,
,Q2493850,Lebeau II government,1840-04-18,11,,,1841-04-13,11,,,Q3112570,de Theux I government,Q3112322,de Mûelenaere-Nothomb government,,,,
,Q3112322,de Mûelenaere-Nothomb government,1841-04-13,11,,,1843-04-16,11,,,Q2493850,Lebeau II government,Q99669084,Nothomb government,,,,
,Q99669084,Nothomb government,1843-04-16,11,,,1845-07-30,11,,,Q3112322,de Mûelenaere-Nothomb government,Q14254140,Van de Weyer government,,,,
,Q14254140,Van de Weyer government,1845-07-30,11,,,1846-03-31,11,,,Q99669084,Nothomb government,Q2182755,de Theux II government,,,,
,Q2182755,de Theux II government,1846-03-31,11,,,1847-08-12,11,,,Q14254140,Van de Weyer government,Q3112426,Rogier I government,,,,
,Q3112426,Rogier I government,1847-08-12,11,,,1852-10-31,11,,,Q2182755,de Theux II government,Q2546723,de Brouckère government,,,,
,Q2546723,de Brouckère government,1852-10-31,11,,,1855-03-30,11,,,Q3112426,Rogier I government,Q3112540,De Decker government,,,,
,Q3112540,De Decker government,1855-03-30,11,,,1857-11-09,11,,,Q2546723,de Brouckère government,Q3112429,Rogier II government,,,,
,Q3112429,Rogier II government,1857-11-09,11,,,1868-01-03,11,,,Q3112540,De Decker government,Q1871879,Frère-Orban I government,,,,
,Q1871879,Frère-Orban I government,1868-01-03,11,,,1870-07-02,11,,,Q3112429,Rogier II government,Q2207757,d'Anethan government,,,,
,Q2207757,d'Anethan government,1870-07-02,11,,,1871-12-07,11,,,Q1871879,Frère-Orban I government,Q2308181,Malou I government,,,,
,Q2308181,Malou I government,1871-12-07,11,,,1878-06-19,11,,,Q2207757,d'Anethan government,Q2485799,Frère-Orban II government,,,,
,Q2485799,Frère-Orban II government,1878-06-19,11,,,1884-06-16,11,,,Q2308181,Malou I government,Q2214140,Malou II government,,,,
,Q2214140,Malou II government,1884-06-16,11,,,1884-10-26,11,,,Q2485799,Frère-Orban II government,Q3269246,Beernaert government,,,,
