@@,name,position
->,Hadja Lahbib,"Minister of Foreign Affairs in Belgium->Minister of Foreign Affairs, European Affairs and Foreign Trade and the Federal Cultural Institutions"
---,David Clarinval,"Minister for the Self-Employed, SMEs and Agriculture, Institutional Reforms and Democratic Renewal, in charge of Foreign Trade"
---,Alexander De Croo,Minister of European Affairs
+++,David Clarinval,"Minister for the Self-Employed, SMEs and Agriculture, Institutional Reforms and Democratic Renewal"
+++,David Clarinval,Deputy Prime Minister
