@@,itemlabel,item,startdate,enddate
+++,Sylvain Van de Weyer,Q546727,1831-02-26,1831-03-27
+++,Joseph Lebeau,Q468104,1831-03-27,1831-07-10
+++,Etienne de Sauvage,Q280685,1831-07-10,1831-07-24
+++,Felix de Mûelenaere,Q472276,1831-07-24,1831-11-12
+++,Felix de Mûelenaere,Q472276,1831-11-12,1832-09-17
+++,Albert Goblet d'Alviella,Q533339,1832-09-17,1833-12-27
+++,Félix de Mérode,Q1357297,1833-12-27,1834-08-04
+++,Felix de Mûelenaere,Q472276,1834-08-04,1836-12-13
+++,Barthélemy de Theux de Meylandt,Q472257,1836-12-13,1837-01-13
+++,Barthélemy de Theux de Meylandt,Q472257,1837-01-13,1840-04-18
+++,Joseph Lebeau,Q468104,1840-04-18,1841-04-13
+++,Felix de Mûelenaere,Q472276,1841-04-13,1841-08-05
+++,Camille de Briey,Q2935095,1841-08-05,1843-04-16
+++,Albert Goblet d'Alviella,Q533339,1843-04-16,1845-07-30
+++,Adolphe Dechamps,Q365722,1845-07-30,1847-08-12
+++,Constant-Ernest d'Hoffschmidt,Q2723017,1847-08-12,1852-10-31
+++,Henri de Brouckère,Q527479,1852-10-31,1855-03-30
->,Charles-Ghislain Vilain XIIII->Charles Vilain XIIII,Q329475,1855-03-30,1857-10-31->1857-11-09
+++,Charles Rogier,Q468109,1861-10-26,1868-01-03
+++,Jules Vander Stichelen,Q2694799,1868-01-03,1870-07-02
+++,Jules Joseph d'Anethan,Q725589,1870-07-02,1871-12-07
+++,Guillaume d'Aspremont Lynden,Q1862710,1871-12-07,1878-06-19
+++,Walthère Frère-Orban,Q705791,1878-06-19,1884-06-16
+++,Joseph de Riquet de Caraman-Chimay,Q3185875,1884-10-26,1892-03-29
+++,August Beernaert,Q202049,1892-03-29,1892-10-31
->,Hendrik de Mérode-Westerloo->Henri de Merode-Westerloo,Q2191097,1892-10-31,1895-05-25
+++,Jules de Burlet,Q569138,1895-05-25,1896-02-25
+++,Paul de Favereau,Q926515,1896-02-25,1907-05-02
->,Eugène Beyens,Q466419,1916->1916-01-18,1917->1917-08-04
+++,Paul Hymans,Q31810,1918-01-01,1920-08-28
+++,Léon Delacroix,Q14989,1920-08-28,1920-11-20
+++,Henri Jaspar,Q14994,1920-11-20,1924-03-11
+++,Paul Hymans,Q31810,1924-03-11,1925-05-13
+++,Albéric Ruzette,Q2832059,1925-05-13,1925-06-17
+++,Emile Vandervelde,Q286556,1925-06-17,1927-11-22
+++,Paul Hymans,Q31810,1927-11-22,1934-06-12
+++,Henri Jaspar,Q14994,1934-06-12,1934-11-20
+++,Paul Hymans,Q31810,1934-11-20,1935-03-25
+++,Paul van Zeeland,Q14996,1935-03-25,1936-06-13
+++,Paul-Henri Spaak,Q155691,1936-06-13,1939-01-21
+++,Paul-Emile Janson,Q665955,1939-01-21,1939-02-22
+++,Eugène Soudan,Q1373577,1939-02-22,1939-04-18
+++,Hubert Pierlot,Q442578,1939-04-18,1939-09-03
+++,Paul-Henri Spaak,Q155691,1939-09-03,1949-08-11
+++,Paul van Zeeland,Q14996,1949-08-11,1954-04-23
+++,Paul-Henri Spaak,Q155691,1954-04-23,1957-05-13
+++,Victor Larock,Q331487,1957-05-13,1958-06-26
+++,Pierre Wigny,Q826501,1958-06-26,1961-04-25
+++,Hendrik Fayat,Q875540,1961-04-25,1965-07-28
+++,Paul-Henri Spaak,Q155691,1961-04-25,1966-03-19
+++,Pierre Harmel,Q363942,1966-03-19,1973-01-26
+++,Renaat Van Elslande,Q331251,1973-01-26,1977-06-03
+++,Henri Simonet,Q1606032,1977-06-03,1980-05-18
+++,Charles-Ferdinand Nothomb,Q1063374,1980-05-18,1981-12-17
+++,Leo Tindemans,Q15002,1981-12-17,1989-06-19
->,Mark Eyskens,Q349477,1989->1989-06-19,1992->1992-03-07
+++,Erik Derycke,Q3056542,1995-03-22,1999-07-12
->,Louis Michel,Q469352,1999-07-12,2004-07-18->2004-07-20
->,Karel De Gucht,Q381218,2004-07-18->2004-07-20,2009-07-17
+++,Philippe Goffin,Q3379933,2019-11-30,2020-10-01
